Desire,#EA3C53,92%,24%,33%,352°,81%,58%,74%,92%
Diamond,#B9F2FF,73%,95%,100%,191°,100%,86%,27%,100%
Dim gray,#696969,41%,41%,41%,—°,0%,41%,0%,41%
Dingy Dungeon,#C53151,77%,19%,32%,347°,60%,48%,75%,77%
Dirt,#9B7653,61%,46%,33%,29°,30%,47%,46%,61%
Dodger blue,#1E90FF,12%,56%,100%,210°,100%,56%,88%,100%
Dogwood rose,#D71868,84%,9%,41%,335°,80%,47%,89%,84%
Dollar bill,#85BB65,52%,73%,40%,98°,39%,56%,46%,73%
Dolphin Gray,#828E84,51%,56%,52%,130°,5%,53%,8%,56%
Donkey brown,#664C28,40%,30%,16%,35°,44%,28%,61%,40%
Drab,#967117,59%,44%,9%,43°,73%,34%,85%,59%
Duke blue,#00009C,0%,0%,61%,240°,100%,31%,100%,61%
Dust storm,#E5CCC9,90%,80%,79%,6°,35%,84%,12%,90%
Dutch white,#EFDFBB,94%,87%,73%,42°,62%,84%,22%,94%
Earth yellow,#E1A95F,88%,66%,37%,34°,68%,63%,58%,88%
Ebony,#555D50,33%,36%,31%,97°,8%,34%,14%,36%
Ecru,#C2B280,76%,70%,50%,45°,35%,63%,34%,76%
Eerie black,#1B1B1B,11%,11%,11%,—°,0%,11%,0%,11%
Eggplant,#614051,38%,25%,32%,329°,20%,32%,34%,38%
Eggshell,#F0EAD6,94%,92%,84%,46°,46%,89%,11%,94%
Egyptian blue,#1034A6,6%,20%,65%,226°,82%,36%,90%,65%
Electric blue,#7DF9FF,49%,98%,100%,183°,100%,75%,51%,100%
Electric crimson,#FF003F,100%,0%,25%,345°,100%,50%,100%,100%
Electric cyan,#00FFFF,0%,100%,100%,180°,100%,50%,100%,100%
Electric green,#00FF00,0%,100%,0%,120°,100%,50%,100%,100%
Electric indigo,#6F00FF,44%,0%,100%,266°,100%,50%,100%,100%
Electric lavender,#F4BBFF,96%,73%,100%,290°,100%,87%,27%,100%
Electric lime,#CCFF00,80%,100%,0%,72°,100%,50%,100%,100%
Electric purple,#BF00FF,75%,0%,100%,285°,100%,50%,100%,100%
Electric ultramarine,#3F00FF,25%,0%,100%,255°,100%,50%,100%,100%
Electric violet,#8F00FF,56%,0%,100%,274°,100%,50%,100%,100%
Electric yellow,#FFFF33,100%,100%,20%,60°,100%,60%,80%,100%
Emerald,#50C878,31%,78%,47%,140°,52%,55%,60%,78%
Eminence,#6C3082,42%,19%,51%,284°,46%,35%,63%,51%
English green,#1B4D3E,11%,30%,24%,162°,48%,20%,65%,30%
English lavender,#B48395,71%,51%,58%,338°,25%,61%,27%,71%
English red,#AB4B52,67%,29%,32%,356°,39%,48%,56%,67%
English vermillion,#CC474B,80%,28%,29%,358°,57%,54%,65%,80%
English violet,#563C5C,34%,24%,36%,289°,21%,30%,35%,36%
Eton blue,#96C8A2,59%,78%,64%,134°,31%,69%,25%,78%
Eucalyptus,#44D7A8,27%,84%,66%,161°,65%,55%,68%,84%
Fallow,#C19A6B,76%,60%,42%,33°,41%,59%,45%,76%
Falu red,#801818,50%,9%,9%,0°,68%,30%,81%,50%
Fandango,#B53389,71%,20%,54%,320°,56%,45%,72%,71%
Fandango pink,#DE5285,87%,32%,52%,338°,68%,60%,63%,87%
Fashion fuchsia,#F400A1,96%,0%,63%,320°,100%,48%,100%,96%
Fawn,#E5AA70,90%,67%,44%,30°,69%,67%,51%,90%
Feldgrau,#4D5D53,30%,36%,33%,143°,9%,33%,17%,36%
Feldspar,#FDD5B1,99%,84%,69%,28°,95%,84%,30%,99%
Fern green,#4F7942,31%,47%,26%,106°,29%,37%,45%,47%
Ferrari Red,#FF2800,100%,16%,0%,9°,100%,50%,100%,100%
Field drab,#6C541E,42%,33%,12%,42°,57%,27%,72%,42%
Fiery Rose,#FF5470,100%,33%,44%,350°,100%,67%,67%,100%
Firebrick,#B22222,70%,13%,13%,0°,68%,42%,81%,70%
Fire engine red,#CE2029,81%,13%,16%,357°,73%,47%,84%,81%
Flame,#E25822,89%,35%,13%,17°,77%,51%,85%,89%
Flamingo pink,#FC8EAC,99%,56%,67%,344°,95%,77%,44%,99%
Flattery,#6B4423,42%,27%,14%,28°,51%,28%,67%,42%
Flavescent,#F7E98E,97%,91%,56%,52°,87%,76%,43%,97%
Flax,#EEDC82,93%,86%,51%,50°,76%,72%,45%,93%
Flirt,#A2006D,64%,0%,43%,320°,100%,32%,100%,64%
Floral white,#FFFAF0,100%,98%,94%,40°,100%,97%,6%,100%
Fluorescent orange,#FFBF00,100%,75%,0%,45°,100%,50%,100%,100%
Fluorescent pink,#FF1493,100%,8%,58%,328°,100%,54%,92%,100%
Fluorescent yellow,#CCFF00,80%,100%,0%,72°,100%,50%,100%,100%
Folly,#FF004F,100%,0%,31%,341°,100%,50%,100%,100%
Forest green (traditional),#014421,0%,27%,13%,149°,97%,14%,99%,27%
Forest green (web),#228B22,13%,55%,13%,120°,61%,34%,76%,55%
French beige,#A67B5B,65%,48%,36%,26°,30%,50%,45%,65%
French bistre,#856D4D,52%,43%,30%,34°,27%,41%,42%,52%
French blue,#0072BB,0%,45%,73%,203°,100%,37%,100%,73%
French fuchsia,#FD3F92,99%,25%,57%,334°,98%,62%,75%,99%
French lilac,#86608E,53%,38%,56%,290°,19%,47%,32%,56%
French lime,#9EFD38,62%,99%,22%,89°,98%,61%,78%,99%
French mauve,#D473D4,83%,45%,83%,300°,53%,64%,46%,83%
French pink,#FD6C9E,99%,42%,62%,339°,97%,71%,57%,99%
French plum,#811453,51%,8%,33%,325°,73%,29%,84%,51%
French puce,#4E1609,31%,9%,4%,11°,79%,17%,88%,31%
French raspberry,#C72C48,78%,17%,28%,349°,64%,48%,78%,78%
French rose,#F64A8A,96%,29%,54%,338°,91%,63%,70%,96%
French sky blue,#77B5FE,47%,71%,100%,212°,99%,73%,53%,100%
French violet,#8806CE,53%,2%,81%,279°,94%,42%,97%,81%
French wine,#AC1E44,67%,12%,27%,344°,70%,40%,83%,67%
Fresh Air,#A6E7FF,65%,91%,100%,196°,100%,83%,35%,100%
Frostbite,#E936A7,91%,21%,65%,322°,80%,56%,77%,91%
Fuchsia,#FF00FF,100%,0%,100%,300°,100%,50%,100%,100%
Fuchsia (Crayola),#C154C1,76%,33%,76%,300°,47%,54%,56%,76%
Fuchsia pink,#FF77FF,100%,47%,100%,300°,100%,73%,53%,100%
Fuchsia purple,#CC397B,80%,22%,48%,333°,59%,51%,72%,80%
Fuchsia rose,#C74375,78%,26%,46%,337°,54%,52%,66%,78%
Fulvous,#E48400,89%,52%,0%,35°,100%,45%,100%,89%
Fuzzy Wuzzy,#CC6666,80%,40%,40%,0°,50%,60%,50%,80%
